Majority protein IDs	gene_name	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	KEGG Pathway Info
XP_020919515.1	NENF	GO:0032099 [Name: negative regulation of appetite]; GO:0010469 [Name: regulation of receptor activity]; GO:0043410 [Name: positive regulation of MAPK cascade]	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0005615 [Name: extracellular space]	GO:0008083 [Name: growth factor activity]; GO:0046872 [Name: metal ion binding]	-
XP_020919632.1;NP_001106918.1	PHYH	GO:0001561 [Name: fatty acid alpha-oxidation]; GO:0006103 [Name: 2-oxoglutarate metabolic process]; GO:0097089 [Name: methyl-branched fatty acid metabolic process]; GO:0006625 [Name: protein targeting to peroxisome]; GO:0006720 [Name: isoprenoid metabolic process]	GO:0005782 [Name: peroxisomal matrix]; GO:0005829 [Name: cytosol]; GO:0005777 [Name: peroxisome]	GO:0048037 [Name: cofactor binding]; GO:0008198 [Name: ferrous iron binding]; GO:0048244 [Name: phytanoyl-CoA dioxygenase activity]; GO:0005515 [Name: protein binding]; GO:0031406 [Name: carboxylic acid binding]; GO:0031418 [Name: L-ascorbic acid binding]	hsa04146 [Pathway Title: Peroxisome]
XP_020919646.1;NP_001231092.1	DNAJA1	"GO:0032781 [Name: positive regulation of ATPase activity]; GO:0043065 [Name: positive regulation of apoptotic process]; GO:0006457 [Name: protein folding]; GO:0030317 [Name: flagellated sperm motility]; GO:0030521 [Name: androgen receptor signaling pathway]; GO:1901998 [Name: toxin transport]; GO:1903748 [Name: negative regulation of establishment of protein localization to mitochondrion]; GO:1905259 [Name: negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway]; GO:0031397 [Name: negative regulation of protein ubiquitination]; GO:0051223 [Name: regulation of protein transport]; GO:0042769 [Name: DNA damage response, detection of DNA damage]; GO:0043508 [Name: negative regulation of JUN kinase activity]; GO:0006986 [Name: response to unfolded protein]; GO:0007283 [Name: spermatogenesis]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0009408 [Name: response to heat]; GO:0070585 [Name: protein localization to mitochondrion]"	GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0000151 [Name: ubiquitin ligase complex]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]; GO:0015630 [Name: microtubule cytoskeleton]; GO:0098554 [Name: cytoplasmic side of endoplasmic reticulum membrane]; GO:0016020 [Name: membrane]	GO:0051087 [Name: chaperone binding]; GO:0005524 [Name: ATP binding]; GO:0031625 [Name: ubiquitin protein ligase binding]; GO:0051082 [Name: unfolded protein binding]; GO:0046872 [Name: metal ion binding]; GO:0050750 [Name: low-density lipoprotein particle receptor binding]; GO:0005515 [Name: protein binding]; GO:0001664 [Name: G-protein coupled receptor binding]; GO:0001671 [Name: ATPase activator activity]; GO:0030544 [Name: Hsp70 protein binding]; GO:0030957 [Name: Tat protein binding]; GO:0055131 [Name: C3HC4-type RING finger domain binding]	hsa04141 [Pathway Title: Protein processing in endoplasmic reticulum]
XP_020919690.1;XP_020919689.1;XP_020919688.1;XP_020919687.1;XP_020919686.1;XP_020919685.1;XP_020919684.1;XP_020919683.1	HNRNPK	"GO:0016032 [Name: viral process]; GO:0048260 [Name: positive regulation of receptor-mediated endocytosis]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0006396 [Name: RNA processing]; GO:0016070 [Name: RNA metabolic process]; GO:1902165 [Name: regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator]; GO:0010988 [Name: regulation of low-density lipoprotein particle clearance]; GO:0045716 [Name: positive regulation of low-density lipoprotein particle receptor biosynthetic process]; GO:0000398 [Name: mRNA splicing, via spliceosome]; GO:0007165 [Name: signal transduction]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0072369 [Name: regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter]; GO:0048025 [Name: negative regulation of mRNA splicing, via spliceosome]"	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0042995 [Name: cell projection]; GO:0070062 [Name: extracellular exosome]; GO:0005654 [Name: nucleoplasm]; GO:0005925 [Name: focal adhesion]; GO:0010494 [Name: cytoplasmic stress granule]; GO:0016020 [Name: membrane]; GO:0002102 [Name: podosome]; GO:0071013 [Name: catalytic step 2 spliceosome]; GO:0000790 [Name: nuclear chromatin]	"GO:0042802 [Name: identical protein binding]; GO:0019904 [Name: protein domain specific binding]; GO:0001228 [Name: transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding]; GO:0003697 [Name: single-stranded DNA binding]; GO:0045296 [Name: cadherin binding]; GO:0005515 [Name: protein binding]; GO:0003723 [Name: RNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]"	hsa05206 [Pathway Title: MicroRNAs in cancer]; hsa05168 [Pathway Title: Herpes simplex infection]; hsa05203 [Pathway Title: Viral carcinogenesis]; hsa03040 [Pathway Title: Spliceosome]
XP_020919699.1;NP_001231177.1	PTER	GO:0030855 [Name: epithelial cell differentiation]; GO:0009056 [Name: catabolic process]	GO:0070062 [Name: extracellular exosome]	"GO:0003674 [Name: molecular_function]; GO:0008270 [Name: zinc ion binding]; GO:0016788 [Name: hydrolase activity, acting on ester bonds]"	-
XP_020919701.1;NP_001230517.1;XP_020919703.1;XP_020919702.1;XP_020919700.1	FH	GO:0006106 [Name: fumarate metabolic process]; GO:0006099 [Name: tricarboxylic acid cycle]; GO:0006108 [Name: malate metabolic process]; GO:0048873 [Name: homeostasis of number of cells within a tissue]	GO:0045239 [Name: tricarboxylic acid cycle enzyme complex]; GO:0005759 [Name: mitochondrial matrix]; GO:0070062 [Name: extracellular exosome]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]	GO:0004333 [Name: fumarate hydratase activity]; GO:0005515 [Name: protein binding]	hsa05211 [Pathway Title: Renal cell carcinoma]; hsa00020 [Pathway Title: Citrate cycle (TCA cycle)]; hsa00620 [Pathway Title: Pyruvate metabolism]; hsa01100 [Pathway Title: Metabolic pathways]; hsa05200 [Pathway Title: Pathways in cancer]; hsa01130 [Pathway Title: Biosynthesis of antibiotics]; hsa01200 [Pathway Title: Carbon metabolism]
XP_020919796.1;XP_020919795.1;XP_020919794.1;XP_020919793.1;XP_020919792.1	MIA3	GO:0002687 [Name: positive regulation of leukocyte migration]; GO:0035459 [Name: cargo loading into vesicle]; GO:0042060 [Name: wound healing]; GO:0070973 [Name: protein localization to endoplasmic reticulum exit site]; GO:0090110 [Name: cargo loading into COPII-coated vesicle]; GO:0044267 [Name: cellular protein metabolic process]; GO:0009306 [Name: protein secretion]; GO:0002042 [Name: cell migration involved in sprouting angiogenesis]; GO:0006887 [Name: exocytosis]; GO:0007029 [Name: endoplasmic reticulum organization]; GO:0030336 [Name: negative regulation of cell migration]; GO:0043687 [Name: post-translational protein modification]; GO:2000402 [Name: negative regulation of lymphocyte migration]; GO:0006888 [Name: ER to Golgi vesicle-mediated transport]; GO:0015031 [Name: protein transport]; GO:0042953 [Name: lipoprotein transport]; GO:1903038 [Name: negative regulation of leukocyte cell-cell adhesion]; GO:0007162 [Name: negative regulation of cell adhesion]	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0000139 [Name: Golgi membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0070971 [Name: endoplasmic reticulum exit site]	GO:0005515 [Name: protein binding]; GO:0042954 [Name: lipoprotein transporter activity]	-
XP_020919888.1	KIAA1217	GO:0048706 [Name: embryonic skeletal system development]	GO:0005737 [Name: cytoplasm]	GO:0003674 [Name: molecular_function]	-
XP_020919974.1;XP_020919973.1	EPRS	GO:0071346 [Name: cellular response to interferon-gamma]; GO:0044539 [Name: long-chain fatty acid import]; GO:0032869 [Name: cellular response to insulin stimulus]; GO:0006418 [Name: tRNA aminoacylation for protein translation]; GO:0006433 [Name: prolyl-tRNA aminoacylation]; GO:0006424 [Name: glutamyl-tRNA aminoacylation]; GO:0065003 [Name: macromolecular complex assembly]; GO:0017148 [Name: negative regulation of translation]	GO:0005829 [Name: cytosol]; GO:0017101 [Name: aminoacyl-tRNA synthetase multienzyme complex]; GO:0016020 [Name: membrane]; GO:0097452 [Name: GAIT complex]; GO:0005886 [Name: plasma membrane]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0005737 [Name: cytoplasm]	GO:0004818 [Name: glutamate-tRNA ligase activity]; GO:0042802 [Name: identical protein binding]; GO:0042803 [Name: protein homodimerization activity]; GO:0005524 [Name: ATP binding]; GO:0004827 [Name: proline-tRNA ligase activity]; GO:0051020 [Name: GTPase binding]; GO:0008270 [Name: zinc ion binding]; GO:0035613 [Name: RNA stem-loop binding]; GO:0005515 [Name: protein binding]	hsa01100 [Pathway Title: Metabolic pathways]; hsa00970 [Pathway Title: Aminoacyl-tRNA biosynthesis]; hsa00860 [Pathway Title: Porphyrin and chlorophyll metabolism]
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	BPNT1	GO:0007399 [Name: nervous system development]; GO:0006139 [Name: nucleobase-containing compound metabolic process]; GO:0016311 [Name: dephosphorylation]; GO:0046854 [Name: phosphatidylinositol phosphorylation]; GO:0050427 [Name: 3'-phosphoadenosine 5'-phosphosulfate metabolic process]	GO:0005829 [Name: cytosol]	"GO:0046872 [Name: metal ion binding]; GO:0008441 [Name: 3'(2'),5'-bisphosphate nucleotidase activity]"	hsa01130 [Pathway Title: Biosynthesis of antibiotics]; hsa00920 [Pathway Title: Sulfur metabolism]; hsa01100 [Pathway Title: Metabolic pathways]
XP_020920002.1;XP_020920001.1;XP_020920000.1;XP_020919998.1;XP_020919997.1;XP_020919996.1	MARC1	GO:0051410 [Name: detoxification of nitrogen compound]; GO:0042126 [Name: nitrate metabolic process]; GO:0055114 [Name: oxidation-reduction process]	GO:0016021 [Name: integral component of membrane]; GO:0005739 [Name: mitochondrion]; GO:0005741 [Name: mitochondrial outer membrane]	GO:0008940 [Name: nitrate reductase activity]; GO:0030151 [Name: molybdenum ion binding]; GO:0043546 [Name: molybdopterin cofactor binding]; GO:0030170 [Name: pyridoxal phosphate binding]	-
XP_020920069.1;XP_020920068.1;XP_020920067.1;XP_020920066.1;XP_020920065.1;XP_020920064.1;XP_020920056.1;XP_020920055.1;XP_020920054.1;XP_020920053.1;XP_020920052.1;XP_020920050.1;XP_020920049.1;XP_020920063.1;XP_020920062.1;XP_020920061.1;XP_020920060.1;XP_020920058.1;XP_020920057.1;XP_020920051.1	ENAH	GO:0007411 [Name: axon guidance]	GO:0005886 [Name: plasma membrane]; GO:0005856 [Name: cytoskeleton]; GO:0045202 [Name: synapse]; GO:0005925 [Name: focal adhesion]; GO:0005829 [Name: cytosol]; GO:0030027 [Name: lamellipodium]; GO:0030054 [Name: cell junction]; GO:0030175 [Name: filopodium]	GO:0005515 [Name: protein binding]; GO:0017124 [Name: SH3 domain binding]; GO:0050699 [Name: WW domain binding]; GO:0003779 [Name: actin binding]	hsa04810 [Pathway Title: Regulation of actin cytoskeleton]
XP_020920078.1;XP_020920077.1;XP_020920076.1;XP_020920075.1	COQ8A	GO:0006744 [Name: ubiquinone biosynthetic process]; GO:0016310 [Name: phosphorylation]; GO:0006468 [Name: protein phosphorylation]	GO:0005739 [Name: mitochondrion]; GO:0031314 [Name: extrinsic component of mitochondrial inner membrane]; GO:0016021 [Name: integral component of membrane]	GO:0043531 [Name: ADP binding]; GO:0005515 [Name: protein binding]; GO:0005524 [Name: ATP binding]; GO:0004672 [Name: protein kinase activity]; GO:0016301 [Name: kinase activity]	-
XP_020920183.1	LMOD1	GO:0030239 [Name: myofibril assembly]; GO:0030838 [Name: positive regulation of actin filament polymerization]; GO:0045010 [Name: actin nucleation]; GO:0051694 [Name: pointed-end actin filament capping]; GO:0006936 [Name: muscle contraction]	GO:0030016 [Name: myofibril]; GO:0005829 [Name: cytosol]; GO:0005865 [Name: striated muscle thin filament]; GO:0016020 [Name: membrane]; GO:0005884 [Name: actin filament]; GO:0030017 [Name: sarcomere]	GO:0003779 [Name: actin binding]; GO:0005523 [Name: tropomyosin binding]	-
XP_020920186.1	RNPEP	GO:0045776 [Name: negative regulation of blood pressure]; GO:0006508 [Name: proteolysis]	GO:0030141 [Name: secretory granule]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]	GO:0004301 [Name: epoxide hydrolase activity]; GO:0008235 [Name: metalloexopeptidase activity]; GO:0008270 [Name: zinc ion binding]; GO:0004177 [Name: aminopeptidase activity]	-
XP_020920192.1	ARL8A	GO:0008089 [Name: anterograde axonal transport]; GO:0043312 [Name: neutrophil degranulation]; GO:0051301 [Name: cell division]; GO:0007049 [Name: cell cycle]; GO:0007059 [Name: chromosome segregation]	GO:0005765 [Name: lysosomal membrane]; GO:0101003 [Name: ficolin-1-rich granule membrane]; GO:0051233 [Name: spindle midzone]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0035577 [Name: azurophil granule membrane]; GO:1904115 [Name: axon cytoplasm]; GO:0030496 [Name: midbody]; GO:0005886 [Name: plasma membrane]; GO:0005774 [Name: vacuolar membrane]; GO:0005737 [Name: cytoplasm]; GO:0031902 [Name: late endosome membrane]	GO:0048487 [Name: beta-tubulin binding]; GO:0003924 [Name: GTPase activity]; GO:0043014 [Name: alpha-tubulin binding]; GO:0005525 [Name: GTP binding]; GO:0005515 [Name: protein binding]	-
XP_020920318.1;XP_020920317.1;XP_003125749.1	UBQLN1	GO:0071456 [Name: cellular response to hypoxia]; GO:1903071 [Name: positive regulation of ER-associated ubiquitin-dependent protein catabolic process]; GO:0031396 [Name: regulation of protein ubiquitination]; GO:1902175 [Name: regulation of oxidative stress-induced intrinsic apoptotic signaling pathway]; GO:0016236 [Name: macroautophagy]; GO:0016241 [Name: regulation of macroautophagy]; GO:0030433 [Name: ubiquitin-dependent ERAD pathway]; GO:0034140 [Name: negative regulation of toll-like receptor 3 signaling pathway]; GO:0097352 [Name: autophagosome maturation]; GO:0035973 [Name: aggrephagy]; GO:1901340 [Name: negative regulation of store-operated calcium channel activity]; GO:0000045 [Name: autophagosome assembly]; GO:0006511 [Name: ubiquitin-dependent protein catabolic process]; GO:0031398 [Name: positive regulation of protein ubiquitination]; GO:0034976 [Name: response to endoplasmic reticulum stress]	GO:0032991 [Name: macromolecular complex]; GO:0005829 [Name: cytosol]; GO:0005776 [Name: autophagosome]; GO:0005886 [Name: plasma membrane]; GO:0016235 [Name: aggresome]; GO:0000502 [Name: proteasome complex]; GO:0005654 [Name: nucleoplasm]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005737 [Name: cytoplasm]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0048471 [Name: perinuclear region of cytoplasm]	GO:0005515 [Name: protein binding]; GO:0031593 [Name: polyubiquitin binding]; GO:0042802 [Name: identical protein binding]; GO:0019900 [Name: kinase binding]	hsa04141 [Pathway Title: Protein processing in endoplasmic reticulum]
XP_020920411.1;XP_020920403.1;XP_020920400.1	SMC5	GO:0006974 [Name: cellular response to DNA damage stimulus]; GO:0007062 [Name: sister chromatid cohesion]; GO:0000722 [Name: telomere maintenance via recombination]; GO:0000724 [Name: double-strand break repair via homologous recombination]; GO:0051301 [Name: cell division]; GO:0051984 [Name: positive regulation of chromosome segregation]; GO:0090398 [Name: cellular senescence]; GO:0006303 [Name: double-strand break repair via nonhomologous end joining]; GO:0034184 [Name: positive regulation of maintenance of mitotic sister chromatid cohesion]	"GO:0016607 [Name: nuclear speck]; GO:0030915 [Name: Smc5-Smc6 complex]; GO:0000803 [Name: sex chromosome]; GO:0000781 [Name: chromosome, telomeric region]; GO:0005634 [Name: nucleus]; GO:0030054 [Name: cell junction]; GO:0005654 [Name: nucleoplasm]; GO:0016605 [Name: PML body]; GO:0035861 [Name: site of double-strand break]; GO:0035061 [Name: interchromatin granule]"	GO:0005515 [Name: protein binding]; GO:0005524 [Name: ATP binding]	-
XP_020920464.1	KIF5B	"GO:0021766 [Name: hippocampus development]; GO:0007018 [Name: microtubule-based movement]; GO:0035774 [Name: positive regulation of insulin secretion involved in cellular response to glucose stimulus]; GO:0047496 [Name: vesicle transport along microtubule]; GO:0051642 [Name: centrosome localization]; GO:0072383 [Name: plus-end-directed vesicle transport along microtubule]; GO:1990049 [Name: retrograde neuronal dense core vesicle transport]; GO:0042391 [Name: regulation of membrane potential]; GO:0099641 [Name: anterograde axonal protein transport]; GO:1903078 [Name: positive regulation of protein localization to plasma membrane]; GO:1905152 [Name: positive regulation of voltage-gated sodium channel activity]; GO:0043268 [Name: positive regulation of potassium ion transport]; GO:0032230 [Name: positive regulation of synaptic transmission, GABAergic]; GO:0071346 [Name: cellular response to interferon-gamma]; GO:0090316 [Name: positive regulation of intracellular protein transport]; GO:1990048 [Name: anterograde neuronal dense core vesicle transport]; GO:0007028 [Name: cytoplasm organization]; GO:0031340 [Name: positive regulation of vesicle fusion]; GO:0035617 [Name: stress granule disassembly]"	GO:0005874 [Name: microtubule]; GO:0044295 [Name: axonal growth cone]; GO:0005871 [Name: kinesin complex]; GO:0031982 [Name: vesicle]; GO:0045335 [Name: phagocytic vesicle]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:1904115 [Name: axon cytoplasm]; GO:0016020 [Name: membrane]; GO:0005815 [Name: microtubule organizing center]; GO:0035253 [Name: ciliary rootlet]; GO:0005829 [Name: cytosol]	GO:0005515 [Name: protein binding]; GO:0008432 [Name: JUN kinase binding]; GO:0045296 [Name: cadherin binding]; GO:0003777 [Name: microtubule motor activity]; GO:0005524 [Name: ATP binding]; GO:0016887 [Name: ATPase activity]; GO:0008017 [Name: microtubule binding]; GO:0042802 [Name: identical protein binding]; GO:0099609 [Name: microtubule lateral binding]	hsa04144 [Pathway Title: Endocytosis]; hsa04728 [Pathway Title: Dopaminergic synapse]
XP_020920472.1	STAM	GO:0016236 [Name: macroautophagy]; GO:0042059 [Name: negative regulation of epidermal growth factor receptor signaling pathway]; GO:0006886 [Name: intracellular protein transport]; GO:0061024 [Name: membrane organization]; GO:0007165 [Name: signal transduction]; GO:0009967 [Name: positive regulation of signal transduction]; GO:1903551 [Name: regulation of extracellular exosome assembly]; GO:0016579 [Name: protein deubiquitination]; GO:0036258 [Name: multivesicular body assembly]; GO:1903543 [Name: positive regulation of exosomal secretion]; GO:0016197 [Name: endosomal transport]	GO:0033565 [Name: ESCRT-0 complex]; GO:0005829 [Name: cytosol]; GO:0031901 [Name: early endosome membrane]	GO:0005515 [Name: protein binding]; GO:0005070 [Name: SH3/SH2 adaptor activity]; GO:0044389 [Name: ubiquitin-like protein ligase binding]	hsa04144 [Pathway Title: Endocytosis]; hsa04630 [Pathway Title: Jak-STAT signaling pathway]
XP_020920488.1;XP_020920486.1;XP_020920487.1	RSU1	GO:0010811 [Name: positive regulation of cell-substrate adhesion]; GO:0010810 [Name: regulation of cell-substrate adhesion]; GO:0043547 [Name: positive regulation of GTPase activity]; GO:0007165 [Name: signal transduction]	GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]; GO:0005925 [Name: focal adhesion]	GO:0005515 [Name: protein binding]	-
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	ACBD5	GO:0035973 [Name: aggrephagy]; GO:0009062 [Name: fatty acid catabolic process]; GO:0016236 [Name: macroautophagy]; GO:0030242 [Name: pexophagy]	GO:0005654 [Name: nucleoplasm]; GO:0005777 [Name: peroxisome]; GO:0016020 [Name: membrane]; GO:0005778 [Name: peroxisomal membrane]; GO:0005634 [Name: nucleus]; GO:0016021 [Name: integral component of membrane]	GO:0000062 [Name: fatty-acyl-CoA binding]; GO:0003674 [Name: molecular_function]; GO:0008289 [Name: lipid binding]	-
XP_020920570.1	ALDH1A1	GO:0043547 [Name: positive regulation of GTPase activity]; GO:0006069 [Name: ethanol oxidation]; GO:0001523 [Name: retinoid metabolic process]; GO:0042572 [Name: retinol metabolic process]; GO:0055114 [Name: oxidation-reduction process]; GO:0061624 [Name: fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate]; GO:0006081 [Name: cellular aldehyde metabolic process]	GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]	GO:0018479 [Name: benzaldehyde dehydrogenase (NAD+) activity]; GO:0004029 [Name: aldehyde dehydrogenase (NAD) activity]; GO:0051287 [Name: NAD binding]; GO:0005096 [Name: GTPase activator activity]; GO:0005497 [Name: androgen binding]; GO:0001758 [Name: retinal dehydrogenase activity]	hsa00830 [Pathway Title: Retinol metabolism]; hsa01100 [Pathway Title: Metabolic pathways]
XP_020920622.1;XP_020920621.1;XP_020920620.1	PLXDC2	-	GO:0016021 [Name: integral component of membrane]	GO:0005515 [Name: protein binding]	-
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	NRP1	"GO:0001525 [Name: angiogenesis]; GO:0002042 [Name: cell migration involved in sprouting angiogenesis]; GO:0007165 [Name: signal transduction]; GO:0010595 [Name: positive regulation of endothelial cell migration]; GO:0048008 [Name: platelet-derived growth factor receptor signaling pathway]; GO:0060301 [Name: positive regulation of cytokine activity]; GO:0060982 [Name: coronary artery morphogenesis]; GO:0097374 [Name: sensory neuron axon guidance]; GO:2000251 [Name: positive regulation of actin cytoskeleton reorganization]; GO:0006930 [Name: substrate-dependent cell migration, cell extension]; GO:0032489 [Name: regulation of Cdc42 protein signal transduction]; GO:0034446 [Name: substrate adhesion-dependent cell spreading]; GO:0048843 [Name: negative regulation of axon extension involved in axon guidance]; GO:0051491 [Name: positive regulation of filopodium assembly]; GO:0060627 [Name: regulation of vesicle-mediated transport]; GO:0061551 [Name: trigeminal ganglion development]; GO:0097491 [Name: sympathetic neuron projection guidance]; GO:1900026 [Name: positive regulation of substrate adhesion-dependent cell spreading]; GO:1902378 [Name: VEGF-activated neuropilin signaling pathway involved in axon guidance]; GO:1902946 [Name: protein localization to early endosome]; GO:1903375 [Name: facioacoustic ganglion development]; GO:0001569 [Name: branching involved in blood vessel morphogenesis]; GO:0007267 [Name: cell-cell signaling]; GO:0007413 [Name: axonal fasciculation]; GO:0021828 [Name: gonadotrophin-releasing hormone neuronal migration to the hypothalamus]; GO:0031290 [Name: retinal ganglion cell axon guidance]; GO:0036486 [Name: ventral trunk neural crest cell migration]; GO:0051894 [Name: positive regulation of focal adhesion assembly]; GO:0097475 [Name: motor neuron migration]; GO:0007229 [Name: integrin-mediated signaling pathway]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:0043547 [Name: positive regulation of GTPase activity]; GO:0048846 [Name: axon extension involved in axon guidance]; GO:0061549 [Name: sympathetic ganglion development]; GO:0071679 [Name: commissural neuron axon guidance]; GO:0090050 [Name: positive regulation of cell migration involved in sprouting angiogenesis]; GO:1902336 [Name: positive regulation of retinal ganglion cell axon guidance]; GO:0001764 [Name: neuron migration]; GO:0035729 [Name: cellular response to hepatocyte growth factor stimulus]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0048012 [Name: hepatocyte growth factor receptor signaling pathway]; GO:0048844 [Name: artery morphogenesis]; GO:0051496 [Name: positive regulation of stress fiber assembly]; GO:0060666 [Name: dichotomous subdivision of terminal units involved in salivary gland branching]; GO:1902287 [Name: semaphorin-plexin signaling pathway involved in axon guidance]; GO:0001938 [Name: positive regulation of endothelial cell proliferation]; GO:0003148 [Name: outflow tract septum morphogenesis]; GO:0009611 [Name: response to wounding]; GO:0021612 [Name: facial nerve structural organization]; GO:0021649 [Name: vestibulocochlear nerve structural organization]; GO:0021675 [Name: nerve development]; GO:0021785 [Name: branchiomotor neuron axon guidance]; GO:0038190 [Name: VEGF-activated neuropilin signaling pathway]; GO:0050731 [Name: positive regulation of peptidyl-tyrosine phosphorylation]; GO:0060978 [Name: angiogenesis involved in coronary vascular morphogenesis]; GO:0061299 [Name: retina vasculature morphogenesis in camera-type eye]; GO:0070374 [Name: positive regulation of ERK1 and ERK2 cascade]; GO:0071526 [Name: semaphorin-plexin signaling pathway]; GO:0090259 [Name: regulation of retinal ganglion cell axon guidance]; GO:0097490 [Name: sympathetic neuron projection extension]; GO:1904835 [Name: dorsal root ganglion morphogenesis]; GO:0021637 [Name: trigeminal nerve structural organization]; GO:0035767 [Name: endothelial cell chemotaxis]; GO:0035924 [Name: cellular response to vascular endothelial growth factor stimulus]; GO:0060385 [Name: axonogenesis involved in innervation]; GO:0061441 [Name: renal artery morphogenesis]; GO:1905040 [Name: otic placode development]; GO:0002040 [Name: sprouting angiogenesis]; GO:0009887 [Name: animal organ morphogenesis]; GO:0007411 [Name: axon guidance]; GO:0031532 [Name: actin cytoskeleton reorganization]; GO:0038189 [Name: neuropilin signaling pathway]; GO:0042327 [Name: positive regulation of phosphorylation]; GO:0043542 [Name: endothelial cell migration]; GO:0048010 [Name: vascular endothelial growth factor receptor signaling pathway]; GO:0048842 [Name: positive regulation of axon extension involved in axon guidance]; GO:0050918 [Name: positive chemotaxis]; GO:0097102 [Name: endothelial tip cell fate specification]; GO:1901166 [Name: neural crest cell migration involved in autonomic nervous system development]; GO:1901998 [Name: toxin transport]; GO:1902285 [Name: semaphorin-plexin signaling pathway involved in neuron projection guidance]; GO:2001237 [Name: negative regulation of extrinsic apoptotic signaling pathway]"	GO:0005886 [Name: plasma membrane]; GO:0005829 [Name: cytosol]; GO:0005883 [Name: neurofilament]; GO:0030424 [Name: axon]; GO:0030426 [Name: growth cone]; GO:0009986 [Name: cell surface]; GO:0005769 [Name: early endosome]; GO:0043005 [Name: neuron projection]; GO:0097443 [Name: sorting endosome]; GO:0002116 [Name: semaphorin receptor complex]; GO:0005615 [Name: extracellular space]; GO:0098978 [Name: glutamatergic synapse]; GO:0099055 [Name: integral component of postsynaptic membrane]; GO:0043235 [Name: receptor complex]; GO:0005925 [Name: focal adhesion]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0043025 [Name: neuronal cell body]	GO:0046872 [Name: metal ion binding]; GO:0015026 [Name: coreceptor activity]; GO:0019901 [Name: protein kinase binding]; GO:0005096 [Name: GTPase activator activity]; GO:0017154 [Name: semaphorin receptor activity]; GO:0019838 [Name: growth factor binding]; GO:0019955 [Name: cytokine binding]; GO:0005515 [Name: protein binding]; GO:0005021 [Name: vascular endothelial growth factor-activated receptor activity]; GO:0008201 [Name: heparin binding]; GO:0038085 [Name: vascular endothelial growth factor binding]	hsa05166 [Pathway Title: HTLV-I infection]; hsa04360 [Pathway Title: Axon guidance]
